name,W,val_loss,f1_050,auc,fpr_050,fnr_050,f1_075,fpr_075,fnr_075,prec_075,rec_075,time
CNN deep+res W=5,5,0.17085149884223938,0.9358490566037736,0.9829129886506935,0.045081967213114756,0.046153846153846156,0.9457364341085271,0.02459016393442623,0.06153846153846154,0.953125,0.9384615384615385,1.2088606357574463
LSTM+CNN W=10,10,0.3577239215373993,0.8491228070175438,0.9479240424847118,0.14225941422594143,0.06923076923076923,0.9402390438247012,0.012552301255230125,0.09230769230769231,0.9752066115702479,0.9076923076923077,0.6108043193817139
CNN maxpool W=5,5,0.12898607552051544,0.929368029739777,0.973266078184111,0.05737704918032787,0.038461538461538464,0.9398496240601504,0.045081967213114756,0.038461538461538464,0.9191176470588235,0.9615384615384616,1.0617656707763672
CNN dilated W=8,8,0.46122315526008606,0.9260700389105059,0.9600063836578359,0.03319502074688797,0.08461538461538462,0.9397590361445783,0.008298755186721992,0.1,0.9831932773109243,0.9,0.6012547016143799
MLP wide h=512,0,0.20611253380775452,0.9084249084249084,0.9817114612295335,0.07630522088353414,0.046153846153846156,0.9358490566037736,0.04417670682730924,0.046153846153846156,0.9185185185185185,0.9538461538461539,0.35360121726989746
CNN ch=32/64 fc=32 drop=0.2,10,0.25247666239738464,0.9224806201550387,0.9537495976826521,0.03765690376569038,0.08461538461538462,0.9354838709677419,0.008368200836820083,0.1076923076923077,0.9830508474576272,0.8923076923076924,0.5951845645904541
CNN baseline W=15,15,0.31152376532554626,0.88,0.9563773833004602,0.10256410256410256,0.06923076923076923,0.9354838709677419,0.008547008547008548,0.1076923076923077,0.9830508474576272,0.8923076923076924,0.5188393592834473
CNN wide W=8,8,0.3423382043838501,0.918918918918919,0.9646983721672518,0.04149377593360996,0.08461538461538462,0.9349593495934959,0.004149377593360996,0.11538461538461539,0.9913793103448276,0.8846153846153846,0.49736618995666504
CNN avg+max W=10,10,0.36587414145469666,0.8402777777777778,0.9623109108464757,0.15481171548117154,0.06923076923076923,0.932806324110672,0.02092050209205021,0.09230769230769231,0.959349593495935,0.9076923076923077,0.530447244644165
CNN wide W=5,5,0.1257074773311615,0.9117647058823529,0.9757566204287517,0.07377049180327869,0.046153846153846156,0.9318181818181818,0.045081967213114756,0.05384615384615385,0.917910447761194,0.9461538461538461,0.8995215892791748
CNN multikernel W=10,10,0.2904680669307709,0.8705035971223022,0.9587705181847442,0.11297071129707113,0.06923076923076923,0.9317269076305221,0.012552301255230125,0.1076923076923077,0.9747899159663865,0.8923076923076924,0.7379744052886963
CNN deep+res W=8,8,0.34776097536087036,0.9182879377431906,0.9696457069901054,0.03734439834024896,0.09230769230769231,0.9317269076305221,0.012448132780082987,0.1076923076923077,0.9747899159663865,0.8923076923076924,0.6230862140655518
CNN lr=0.005,10,0.278502881526947,0.9111969111969112,0.9584808496942389,0.04602510460251046,0.09230769230769231,0.9317269076305221,0.012552301255230125,0.1076923076923077,0.9747899159663865,0.8923076923076924,0.4753861427307129
CNN ch=128/256 fc=128 drop=0.3,10,0.3592376410961151,0.8832116788321168,0.9603797875764403,0.09623430962343096,0.06923076923076923,0.9306122448979591,0.0041841004184100415,0.12307692307692308,0.991304347826087,0.8769230769230769,0.47748684883117676
Transformer W=10,10,0.34421220421791077,0.90625,0.9600579336981011,0.04184100418410042,0.1076923076923077,0.9306122448979591,0.0041841004184100415,0.12307692307692308,0.991304347826087,0.8769230769230769,1.1615142822265625
CNN lr=0.002,10,0.31843820214271545,0.921875,0.951657547473447,0.03347280334728033,0.09230769230769231,0.9306122448979591,0.0041841004184100415,0.12307692307692308,0.991304347826087,0.8769230769230769,0.47388648986816406
CNN lr=0.0005,10,0.26178523898124695,0.9260700389105059,0.952494367557129,0.03347280334728033,0.08461538461538462,0.9306122448979591,0.0041841004184100415,0.12307692307692308,0.991304347826087,0.8769230769230769,0.5654606819152832
CNN baseline W=10,10,0.3085278868675232,0.9029850746268657,0.9564853556485355,0.07112970711297072,0.06923076923076923,0.9306122448979591,0.0041841004184100415,0.12307692307692308,0.991304347826087,0.8769230769230769,0.5053808689117432
Transformer W=5,5,0.1214398592710495,0.9230769230769231,0.9734867591424968,0.040983606557377046,0.07692307692307693,0.9296875,0.028688524590163935,0.08461538461538462,0.9444444444444444,0.9153846153846154,1.281759262084961
CNN avg+max W=8,8,0.411945104598999,0.9056603773584906,0.9615384615384616,0.06224066390041494,0.07692307692307693,0.9291338582677166,0.024896265560165973,0.09230769230769231,0.9516129032258065,0.9076923076923077,0.5231647491455078
MLP residual h=256,0,0.24567066133022308,0.8953068592057761,0.9879518072289157,0.09236947791164658,0.046153846153846156,0.9288389513108615,0.05220883534136546,0.046153846153846156,0.9051094890510949,0.9538461538461539,0.5648012161254883
CNN ch=64/128 fc=64 drop=0.5,10,0.24734537303447723,0.8612099644128114,0.9506919858384293,0.12552301255230125,0.06923076923076923,0.9285714285714286,0.02092050209205021,0.1,0.9590163934426229,0.9,0.5228805541992188
CNN wide W=10,10,0.3347872495651245,0.8913857677902621,0.9504345027357578,0.07531380753138076,0.08461538461538462,0.9285714285714286,0.02092050209205021,0.1,0.9590163934426229,0.9,0.5079624652862549
CNN wide W=15,15,0.3501714766025543,0.8148148148148148,0.9500000000000001,0.19658119658119658,0.06923076923076923,0.928,0.017094017094017096,0.1076923076923077,0.9666666666666667,0.8923076923076924,0.49941372871398926
CNN baseline W=5,5,0.09845086932182312,0.9077490774907749,0.976639344262295,0.07377049180327869,0.05384615384615385,0.9277566539923955,0.045081967213114756,0.06153846153846154,0.9172932330827067,0.9384615384615385,2.609520673751831
CNN maxpool W=10,10,0.3237779438495636,0.8654545454545455,0.9526552944962987,0.1087866108786611,0.08461538461538462,0.9274193548387096,0.012552301255230125,0.11538461538461539,0.9745762711864406,0.8846153846153846,0.5004589557647705
