iso_time_utc	mono_s	phase	rover_x_m	rover_y_m	rover_z_m	dist_to_real_ltv_m	ping_strength	goal_dist_cm
2026-04-08T23:54:34Z	113696.800	drive	-5664.000	-10080.101	1440.400	788.939	1.000	41893.901
2026-04-08T23:54:35Z	113698.641	drive	-5664.000	-10080.101	1440.400	788.939	1.000	41893.901
2026-04-08T23:54:37Z	113700.399	drive	-5664.000	-10080.101	1440.400	788.939	1.000	41893.901
2026-04-08T23:54:39Z	113702.154	drive	-5664.100	-10080.400	1440.400	788.629	1.000	41862.483
2026-04-08T23:54:41Z	113703.929	drive	-5664.300	-10080.800	1440.500	788.180	1.000	41817.829
2026-04-08T23:54:42Z	113705.676	drive	-5664.500	-10081.200	1440.500	787.733	1.000	41773.108
2026-04-08T23:54:44Z	113707.545	drive	-5665.100	-10082.101	1440.600	786.652	1.000	41666.223
2026-04-08T23:54:46Z	113709.330	drive	-5666.200	-10083.101	1440.600	785.244	1.000	41529.429
2026-04-08T23:54:48Z	113711.113	drive	-5667.500	-10083.900	1440.700	783.912	1.000	41402.637
2026-04-08T23:54:50Z	113712.923	drive	-5668.400	-10083.700	1440.800	783.649	1.000	41383.609
2026-04-08T23:54:51Z	113714.658	drive	-5668.800	-10083.601	1440.800	783.542	1.000	41376.166
2026-04-08T23:54:53Z	113716.427	drive	-5669.000	-10083.601	1440.800	783.446	1.000	41367.940
