elapsed_s,step_idx,iso_time,throttle_cmd,steering_cmd,brakes_cmd,lidar_00_cm,lidar_01_cm,lidar_02_cm,lidar_03_cm,lidar_04_cm,lidar_05_cm,lidar_06_cm,lidar_07_cm,lidar_08_cm,lidar_09_cm,lidar_10_cm,lidar_11_cm,lidar_12_cm,lidar_13_cm,lidar_14_cm,lidar_15_cm,lidar_16_cm,telemetry_throttle,telemetry_steering,telemetry_speed
0.015,0,2026-03-15T15:44:41.011,0.000,0.000,1,-1.000,519.620,-1.000,569.900,899.240,430.660,442.300,401.950,402.170,637.290,301.450,292.630,641.770,792.670,-1.000,962.460,-1.000,0.000,0.000,0.000
0.078,1,2026-03-15T15:44:41.069,0.000,0.000,1,-1.000,519.620,-1.000,569.900,899.240,430.660,442.300,401.950,402.170,637.290,301.450,292.630,641.770,792.670,-1.000,962.460,-1.000,0.000,0.000,0.000
0.125,2,2026-03-15T15:44:41.123,0.000,0.000,1,-1.000,519.620,-1.000,569.900,899.240,430.660,442.300,401.950,402.170,637.290,301.450,292.630,641.770,792.670,-1.000,962.460,-1.000,0.000,0.000,0.000
0.187,3,2026-03-15T15:44:41.177,0.000,0.000,1,-1.000,519.620,-1.000,569.900,899.240,430.660,442.300,401.950,402.170,637.290,301.450,292.630,641.770,792.670,-1.000,962.460,-1.000,0.000,0.000,0.000
0.234,4,2026-03-15T15:44:41.230,0.000,0.000,1,-1.000,519.620,-1.000,569.900,899.240,430.660,442.300,401.950,402.170,637.290,301.450,292.630,641.770,792.670,-1.000,962.460,-1.000,0.000,0.000,0.000
0.297,5,2026-03-15T15:44:41.283,0.000,0.000,1,-1.000,519.620,-1.000,569.900,899.240,430.660,442.300,401.950,402.170,637.290,301.450,292.630,641.770,792.670,-1.000,962.460,-1.000,0.000,0.000,0.000
0.343,6,2026-03-15T15:44:41.338,0.000,0.000,1,-1.000,519.620,-1.000,569.900,899.240,430.660,442.300,401.950,402.170,637.290,301.450,292.630,641.770,792.670,-1.000,962.460,-1.000,0.000,0.000,0.000
0.390,7,2026-03-15T15:44:41.390,0.000,0.000,1,-1.000,519.620,-1.000,569.900,899.240,430.660,442.300,401.950,402.170,637.290,301.450,292.630,641.770,792.670,-1.000,962.460,-1.000,0.000,0.000,0.000
0.453,8,2026-03-15T15:44:41.443,0.000,0.000,1,-1.000,519.620,-1.000,569.900,899.240,430.660,442.300,401.950,402.170,637.290,301.450,292.630,641.770,792.670,-1.000,962.460,-1.000,0.000,0.000,0.000
0.500,9,2026-03-15T15:44:41.496,0.000,0.000,1,-1.000,519.620,-1.000,569.900,899.240,430.660,442.300,401.950,402.170,637.290,301.450,292.630,641.770,792.670,-1.000,962.460,-1.000,0.000,0.000,0.000
0.562,10,2026-03-15T15:44:41.549,0.000,0.000,1,-1.000,519.620,-1.000,569.900,899.240,430.660,442.300,401.950,402.170,637.290,301.450,292.630,641.770,792.670,-1.000,962.460,-1.000,0.000,0.000,0.000
0.609,11,2026-03-15T15:44:41.604,0.000,0.000,1,-1.000,519.620,-1.000,569.900,899.240,430.660,442.300,401.950,402.170,637.290,301.450,292.630,641.770,792.670,-1.000,962.460,-1.000,0.000,0.000,0.000
0.656,12,2026-03-15T15:44:41.658,0.000,0.000,1,-1.000,519.620,-1.000,569.900,899.240,430.660,442.300,401.950,402.170,637.290,301.450,292.630,641.770,792.670,-1.000,962.460,-1.000,0.000,0.000,0.000
0.718,13,2026-03-15T15:44:41.711,0.000,0.000,1,-1.000,519.620,-1.000,569.900,899.240,430.660,442.300,401.950,402.170,637.290,301.450,292.630,641.770,792.670,-1.000,962.460,-1.000,0.000,0.000,0.000
