iso_time_utc	mono_s	sample_kind	sample_idx	planned_x_m	planned_y_m	rover_x_m	rover_y_m	rover_z_m	heading_deg	goal_error_m	ping_value	predicted_radius_m	last_known_x_m	last_known_y_m
2026-04-08T04:28:45Z	43738.156	drive	1	-5962.082	-10603.291	-5946.100	-10247.700	1453.200	-75.300	355.950	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:28:47Z	43739.906	drive	1	-5962.082	-10603.291	-5946.100	-10247.700	1453.200	-75.300	355.950	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:28:49Z	43741.687	drive	1	-5962.082	-10603.291	-5946.100	-10247.700	1453.200	-75.300	355.950	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:28:51Z	43743.515	drive	1	-5962.082	-10603.291	-5946.100	-10247.900	1453.200	-77.800	355.750	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:28:53Z	43745.312	drive	1	-5962.082	-10603.291	-5946.200	-10248.300	1453.300	-83.100	355.346	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:28:55Z	43747.265	drive	1	-5962.082	-10603.291	-5946.300	-10249.000	1453.300	-91.300	354.642	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:28:56Z	43749.062	drive	1	-5962.082	-10603.291	-5946.400	-10249.400	1453.300	-94.800	354.238	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:28:58Z	43750.890	drive	1	-5962.082	-10603.291	-5946.500	-10249.800	1453.300	-96.600	353.834	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:29:00Z	43752.703	drive	1	-5962.082	-10603.291	-5946.500	-10250.101	1453.300	-94.100	353.534	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:29:02Z	43754.671	drive	1	-5962.082	-10603.291	-5946.500	-10250.000	1453.300	-95.100	353.634	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:29:04Z	43756.593	drive	1	-5962.082	-10603.291	-5946.500	-10249.700	1453.300	-98.900	353.934	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:29:06Z	43758.609	drive	1	-5962.082	-10603.291	-5946.500	-10249.601	1453.300	-99.800	354.033	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:29:08Z	43760.437	drive	1	-5962.082	-10603.291	-5946.700	-10249.900	1453.300	-104.300	353.725	1.000	13.200	-5839.300	-10460.600
