iso_time_utc	mono_s	sample_kind	sample_idx	planned_x_m	planned_y_m	rover_x_m	rover_y_m	rover_z_m	heading_deg	goal_error_m	ping_value	predicted_radius_m	fit_a	fit_b	suspected_x_m	suspected_y_m	last_known_x_m	last_known_y_m
2026-04-08T16:17:15Z	86244.812	hex_drive	1	-5809.300	-10460.600	-5832.000	-10436.700	1440.400	-163.700	32.962	-52.318	nan					-5839.300	-10460.600
2026-04-08T16:17:16Z	86245.796	hex_drive	1	-5809.300	-10460.600	-5832.600	-10436.700	1440.600	-168.200	33.378	-52.335	nan					-5839.300	-10460.600
2026-04-08T16:17:18Z	86247.812	hex_drive	1	-5809.300	-10460.600	-5833.100	-10436.700	1440.800	-171.700	33.729	-52.358	nan					-5839.300	-10460.600
2026-04-08T16:17:19Z	86248.953	hex_drive	1	-5809.300	-10460.600	-5833.500	-10436.900	1440.900	-167.500	33.872	-52.370	nan					-5839.300	-10460.600
2026-04-08T16:17:20Z	86249.921	hex_drive	1	-5809.300	-10460.600	-5834.000	-10437.200	1441.000	-160.000	34.024	-52.379	nan					-5839.300	-10460.600
2026-04-08T16:17:21Z	86251.000	hex_drive	1	-5809.300	-10460.600	-5834.400	-10437.500	1441.100	-154.000	34.112	-52.388	nan					-5839.300	-10460.600
2026-04-08T16:17:22Z	86251.984	hex_drive	1	-5809.300	-10460.600	-5835.300	-10438.400	1441.400	-140.300	34.188	-52.393	nan					-5839.300	-10460.600
2026-04-08T16:17:23Z	86253.015	hex_drive	1	-5809.300	-10460.600	-5835.700	-10438.800	1441.400	-132.000	34.238	-52.396	nan					-5839.300	-10460.600
2026-04-08T16:17:24Z	86253.968	hex_drive	1	-5809.300	-10460.600	-5836.000	-10439.601	1441.500	-122.400	33.969	-52.395	nan					-5839.300	-10460.600
2026-04-08T16:17:25Z	86255.000	hex_drive	1	-5809.300	-10460.600	-5836.400	-10440.400	1441.500	-116.100	33.800	-52.395	nan					-5839.300	-10460.600
2026-04-08T16:17:28Z	86257.078	hex_drive	1	-5809.300	-10460.600	-5836.600	-10440.800	1441.600	-117.800	33.725	-52.400	nan					-5839.300	-10460.600
2026-04-08T16:17:29Z	86258.125	hex_drive	1	-5809.300	-10460.600	-5836.800	-10441.200	1441.700	-122.700	33.654	-52.402	nan					-5839.300	-10460.600
2026-04-08T16:17:30Z	86259.109	hex_drive	1	-5809.300	-10460.600	-5837.100	-10441.400	1441.600	-125.800	33.786	-52.400	nan					-5839.300	-10460.600
2026-04-08T16:17:31Z	86260.125	hex_drive	1	-5809.300	-10460.600	-5836.900	-10441.300	1441.600	-123.600	33.679	-52.399	nan					-5839.300	-10460.600
2026-04-08T16:17:32Z	86261.203	hex_drive	1	-5809.300	-10460.600	-5836.900	-10441.300	1441.600	-122.200	33.679	-52.398	nan					-5839.300	-10460.600
2026-04-08T16:17:33Z	86262.187	hex_drive	1	-5809.300	-10460.600	-5836.900	-10441.300	1441.600	-121.400	33.679	-52.396	nan					-5839.300	-10460.600
2026-04-08T16:17:34Z	86263.250	hex_drive	1	-5809.300	-10460.600	-5836.900	-10441.500	1441.600	-118.700	33.564	-52.394	nan					-5839.300	-10460.600
2026-04-08T16:17:35Z	86264.296	hex_drive	1	-5809.300	-10460.600	-5837.000	-10441.900	1441.600	-113.900	33.421	-52.390	nan					-5839.300	-10460.600
2026-04-08T16:17:36Z	86265.265	hex_drive	1	-5809.300	-10460.600	-5837.100	-10442.400	1441.600	-108.100	33.228	-52.382	nan					-5839.300	-10460.600
2026-04-08T16:17:38Z	86267.234	hex_drive	1	-5809.300	-10460.600	-5837.100	-10443.000	1441.600	-101.300	32.903	-52.376	nan					-5839.300	-10460.600
2026-04-08T16:17:39Z	86268.234	hex_drive	1	-5809.300	-10460.600	-5837.200	-10443.700	1441.700	-102.700	32.619	-52.376	nan					-5839.300	-10460.600
2026-04-08T16:17:40Z	86269.234	hex_drive	1	-5809.300	-10460.600	-5837.300	-10443.900	1441.700	-104.300	32.602	-52.376	nan					-5839.300	-10460.600
2026-04-08T16:17:41Z	86270.296	hex_drive	1	-5809.300	-10460.600	-5837.300	-10443.800	1441.700	-103.100	32.654	-52.375	nan					-5839.300	-10460.600
2026-04-08T16:17:42Z	86271.453	hex_drive	1	-5809.300	-10460.600	-5837.200	-10443.601	1441.600	-100.200	32.671	-52.374	nan					-5839.300	-10460.600
2026-04-08T16:17:43Z	86272.359	hex_drive	1	-5809.300	-10460.600	-5837.000	-10443.300	1441.600	-95.200	32.659	-52.374	nan					-5839.300	-10460.600
2026-04-08T16:17:44Z	86273.375	hex_drive	1	-5809.300	-10460.600	-5836.800	-10442.900	1441.600	-90.100	32.704	-52.376	nan					-5839.300	-10460.600
2026-04-08T16:17:45Z	86274.546	hex_drive	1	-5809.300	-10460.600	-5836.700	-10442.400	1441.600	-83.500	32.894	-52.380	nan					-5839.300	-10460.600
2026-04-08T16:17:46Z	86275.546	hex_drive	1	-5809.300	-10460.600	-5836.600	-10442.000	1441.500	-79.700	33.034	-52.383	nan					-5839.300	-10460.600
2026-04-08T16:17:47Z	86276.500	hex_drive	1	-5809.300	-10460.600	-5836.600	-10441.700	1441.500	-75.600	33.204	-52.385	nan					-5839.300	-10460.600
2026-04-08T16:17:48Z	86277.421	hex_drive	1	-5809.300	-10460.600	-5836.500	-10441.400	1441.500	-71.600	33.294	-52.386	nan					-5839.300	-10460.600
2026-04-08T16:17:50Z	86279.578	hex_drive	1	-5809.300	-10460.600	-5836.500	-10441.400	1441.500	-68.900	33.294	-52.378	nan					-5839.300	-10460.600
2026-04-08T16:17:51Z	86280.515	hex_drive	1	-5809.300	-10460.600	-5836.300	-10441.500	1441.500	-66.400	33.073	-52.370	nan					-5839.300	-10460.600
2026-04-08T16:17:52Z	86281.531	hex_drive	1	-5809.300	-10460.600	-5836.200	-10441.700	1441.500	-63.100	32.876	-52.357	nan					-5839.300	-10460.600
2026-04-08T16:17:53Z	86282.546	hex_drive	1	-5809.300	-10460.600	-5835.900	-10442.000	1441.400	-58.100	32.458	-52.346	nan					-5839.300	-10460.600
2026-04-08T16:17:54Z	86283.562	hex_drive	1	-5809.300	-10460.600	-5835.600	-10442.300	1441.400	-55.700	32.040	-52.340	nan					-5839.300	-10460.600
2026-04-08T16:17:55Z	86284.500	hex_drive	1	-5809.300	-10460.600	-5835.500	-10442.500	1441.400	-57.300	31.844	-52.336	nan					-5839.300	-10460.600
2026-04-08T16:17:56Z	86285.562	hex_drive	1	-5809.300	-10460.600	-5835.500	-10442.601	1441.400	-59.000	31.787	-52.335	nan					-5839.300	-10460.600
2026-04-08T16:17:57Z	86286.656	hex_drive	1	-5809.300	-10460.600	-5835.500	-10442.700	1441.400	-59.800	31.731	-52.337	nan					-5839.300	-10460.600
2026-04-08T16:17:58Z	86287.593	hex_drive	1	-5809.300	-10460.600	-5835.500	-10442.601	1441.400	-58.300	31.787	-52.341	nan					-5839.300	-10460.600
2026-04-08T16:18:00Z	86289.593	hex_drive	1	-5809.300	-10460.600	-5835.600	-10442.200	1441.400	-53.500	32.097	-52.347	nan					-5839.300	-10460.600
2026-04-08T16:18:01Z	86290.687	hex_drive	1	-5809.300	-10460.600	-5835.600	-10442.101	1441.400	-52.900	32.155	-52.345	nan					-5839.300	-10460.600
2026-04-08T16:18:02Z	86291.656	hex_drive	1	-5809.300	-10460.600	-5835.600	-10442.200	1441.400	-51.900	32.097	-52.340	nan					-5839.300	-10460.600
2026-04-08T16:18:03Z	86292.687	hex_drive	1	-5809.300	-10460.600	-5835.400	-10442.300	1441.400	-49.400	31.876	-52.330	nan					-5839.300	-10460.600
2026-04-08T16:18:04Z	86293.734	hex_drive	1	-5809.300	-10460.600	-5835.200	-10442.400	1441.400	-46.200	31.655	-52.317	nan					-5839.300	-10460.600
2026-04-08T16:18:05Z	86294.875	hex_drive	1	-5809.300	-10460.600	-5834.500	-10442.700	1441.200	-36.600	30.910	-52.300	nan					-5839.300	-10460.600
2026-04-08T16:18:06Z	86295.859	hex_drive	1	-5809.300	-10460.600	-5834.100	-10442.900	1441.200	-31.800	30.468	-52.286	nan					-5839.300	-10460.600
2026-04-08T16:18:08Z	86297.937	hex_drive	1	-5809.300	-10460.600	-5833.800	-10443.101	1441.100	-31.100	30.108	-52.271	nan					-5839.300	-10460.600
2026-04-08T16:18:09Z	86298.921	hex_drive	1	-5809.300	-10460.600	-5833.700	-10443.200	1441.100	-33.000	29.969	-52.270	nan					-5839.300	-10460.600
2026-04-08T16:18:10Z	86299.953	hex_drive	1	-5809.300	-10460.600	-5833.600	-10443.300	1441.100	-34.400	29.829	-52.272	nan					-5839.300	-10460.600
2026-04-08T16:18:12Z	86301.156	hex_drive	1	-5809.300	-10460.600	-5833.600	-10443.300	1441.100	-33.900	29.829	-52.279	nan					-5839.300	-10460.600
2026-04-08T16:18:12Z	86302.015	hex_drive	1	-5809.300	-10460.600	-5833.700	-10443.200	1441.100	-32.100	29.969	-52.288	nan					-5839.300	-10460.600
2026-04-08T16:18:14Z	86303.203	hex_drive	1	-5809.300	-10460.600	-5833.900	-10443.000	1441.100	-28.800	30.248	-52.302	nan					-5839.300	-10460.600
2026-04-08T16:18:15Z	86304.203	hex_drive	1	-5809.300	-10460.600	-5834.400	-10442.500	1441.200	-18.800	30.945	-52.313	nan					-5839.300	-10460.600
2026-04-08T16:18:16Z	86305.218	hex_drive	1	-5809.300	-10460.600	-5834.600	-10442.300	1441.200	-16.600	31.225	-52.319	nan					-5839.300	-10460.600
2026-04-08T16:18:17Z	86306.187	hex_drive	1	-5809.300	-10460.600	-5834.800	-10442.200	1441.200	-14.500	31.445	-52.322	nan					-5839.300	-10460.600
2026-04-08T16:18:19Z	86308.281	hex_drive	1	-5809.300	-10460.600	-5834.800	-10442.200	1441.200	-13.200	31.445	-52.313	nan					-5839.300	-10460.600
2026-04-08T16:18:20Z	86309.296	hex_drive	1	-5809.300	-10460.600	-5834.400	-10442.101	1441.200	-7.900	31.181	-52.303	nan					-5839.300	-10460.600
2026-04-08T16:18:21Z	86310.250	hex_drive	1	-5809.300	-10460.600	-5834.100	-10442.101	1441.100	-3.200	30.940	-52.293	nan					-5839.300	-10460.600
2026-04-08T16:18:22Z	86311.250	hex_drive	1	-5809.300	-10460.600	-5833.600	-10441.900	1441.000	4.300	30.662	-52.277	nan					-5839.300	-10460.600
2026-04-08T16:18:23Z	86312.312	hex_drive	1	-5809.300	-10460.600	-5833.100	-10441.800	1440.900	6.500	30.330	-52.255	nan					-5839.300	-10460.600
2026-04-08T16:18:24Z	86313.343	hex_drive	1	-5809.300	-10460.600	-5832.300	-10441.700	1440.700	6.900	29.769	-52.232	nan					-5839.300	-10460.600
2026-04-08T16:18:25Z	86314.390	hex_drive	1	-5809.300	-10460.600	-5831.600	-10441.700	1440.500	6.400	29.232	-52.205	nan					-5839.300	-10460.600
2026-04-08T16:18:26Z	86315.375	hex_drive	1	-5809.300	-10460.600	-5830.700	-10441.700	1440.200	4.200	28.551	-52.175	nan					-5839.300	-10460.600
2026-04-08T16:18:27Z	86316.375	hex_drive	1	-5809.300	-10460.600	-5829.800	-10441.700	1439.800	1.400	27.883	-52.140	nan					-5839.300	-10460.600
2026-04-08T16:18:28Z	86317.375	hex_drive	1	-5809.300	-10460.600	-5828.700	-10441.700	1439.500	-0.300	27.085	-52.105	nan					-5839.300	-10460.600
2026-04-08T16:18:29Z	86318.546	hex_drive	1	-5809.300	-10460.600	-5827.700	-10441.900	1439.300	-5.200	26.234	-52.064	nan					-5839.300	-10460.600
2026-04-08T16:18:30Z	86319.406	hex_drive	1	-5809.300	-10460.600	-5826.600	-10442.200	1439.100	-15.300	25.256	-52.060	nan					-5839.300	-10460.600
2026-04-08T16:18:32Z	86321.484	hex_drive	1	-5809.300	-10460.600	-5826.200	-10441.700	1439.100	-16.900	25.354	-52.056	nan					-5839.300	-10460.600
