sample_idx,sensor_idx,distance_cm,x_cm,y_cm,z_cm,pose_x_cm,pose_y_cm,pose_z_cm,heading_deg
0,1,532.500000,555.073000,625.484000,-152.127000,250.000000,1400.000000,29.999000,-85.700000
0,3,566.630000,55.496000,557.698000,-163.800000,250.000000,1400.000000,29.999000,-85.700000
0,4,873.780000,-354.488000,344.991000,29.999000,250.000000,1400.000000,29.999000,-85.700000
0,5,433.780000,378.634000,689.507000,-153.324000,250.000000,1400.000000,29.999000,-85.700000
0,6,439.160000,229.422000,673.398000,-155.598000,250.000000,1400.000000,29.999000,-85.700000
0,7,401.010000,863.103000,1405.986000,-107.155000,250.000000,1400.000000,29.999000,-85.700000
0,8,404.030000,-359.935000,1314.026000,-108.187000,250.000000,1400.000000,29.999000,-85.700000
0,9,639.270000,876.160000,2153.780000,29.999000,250.000000,1400.000000,29.999000,-85.700000
0,10,299.410000,283.332000,2023.665000,29.999000,250.000000,1400.000000,29.999000,-85.700000
0,11,296.300000,153.931000,2010.816000,29.999000,250.000000,1400.000000,29.999000,-85.700000
0,12,657.310000,-439.591000,2068.706000,29.999000,250.000000,1400.000000,29.999000,-85.700000
0,16,908.220000,-144.192000,239.905000,29.999000,250.000000,1400.000000,29.999000,-85.700000
1,1,532.500000,555.073000,625.484000,-152.127000,250.000000,1400.000000,29.999000,-85.700000
1,3,566.630000,55.496000,557.698000,-163.800000,250.000000,1400.000000,29.999000,-85.700000
1,4,873.780000,-354.488000,344.991000,29.999000,250.000000,1400.000000,29.999000,-85.700000
1,5,433.780000,378.634000,689.507000,-153.324000,250.000000,1400.000000,29.999000,-85.700000
1,6,439.160000,229.422000,673.398000,-155.598000,250.000000,1400.000000,29.999000,-85.700000
1,7,401.010000,863.103000,1405.986000,-107.155000,250.000000,1400.000000,29.999000,-85.700000
1,8,404.030000,-359.935000,1314.026000,-108.187000,250.000000,1400.000000,29.999000,-85.700000
1,9,639.270000,876.160000,2153.780000,29.999000,250.000000,1400.000000,29.999000,-85.700000
1,10,299.410000,283.332000,2023.665000,29.999000,250.000000,1400.000000,29.999000,-85.700000
