step_idx	elapsed_s	status	reverse_active	path_reverse_active	stuck_detection_armed	planner_rebuilt	replan_attempted	raw_path_points	follow_path_points	active_path_points	raw_rover_x	raw_rover_y	raw_rover_z	raw_heading_deg	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	raw_pose_delta	pose_delta_cm	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	distance_traveled_delta	moved_since_anchor_cm	stationary_elapsed_s	goal_x_cm	goal_y_cm	goal_dist_cm	target_x_cm	target_y_cm	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	waypoint_idx	waypoint_distance_cm	waypoint_distance_avg_cm	path_heading_error_deg	throttle_cmd	steering_cmd	new_lidar_obstacles	stuck_obstacles_added	obstacle_total
0	0.000	Running	0	0	0	0	0	0	649	649	-5669.700	-10074.500	1440.300	179.700	-270.020	1740.039	29.999	-89.700	0.000	0.000	0.000	0.000	0.000	1	0.800	0.000	0.000	0.000	-4270.020	-2259.961	5656.854	-573.573	1436.486	104	104	97	97	57	429.289	429.289	-45.300	18.000	-1.000	0	0	0
1	0.280	Running	0	0	0	0	0	0	649	649	-5669.700	-10074.500	1440.300	179.700	-270.020	1740.039	29.999	-89.700	0.000	0.000	18.000	1.000	0.000	0	0.800	0.000	0.000	0.280	-4270.020	-2259.961	5656.854	-573.573	1436.486	104	104	97	97	57	429.289	429.289	-45.300	18.000	-1.000	0	0	0
2	0.530	Running	0	0	0	0	0	0	649	649	-5669.700	-10074.500	1440.300	179.700	-270.020	1740.039	29.999	-89.700	0.000	0.000	18.000	1.000	0.000	0	0.800	0.000	0.000	0.530	-4270.020	-2259.961	5656.854	-573.573	1436.486	104	104	97	97	57	429.289	429.289	-45.300	18.000	-1.000	0	0	0
3	0.778	Running	0	0	0	0	0	0	649	649	-5669.700	-10074.500	1440.300	179.700	-270.020	1740.039	29.999	-89.700	0.000	0.000	18.000	1.000	0.000	0	0.800	0.000	0.000	0.778	-4270.020	-2259.961	5656.854	-573.573	1436.486	104	104	97	97	57	429.289	429.289	-45.300	18.000	-1.000	0	0	0
4	1.072	Running	0	0	0	0	0	0	649	649	-5669.700	-10074.500	1440.300	179.700	-270.020	1740.039	29.999	-89.700	0.000	0.000	18.000	1.000	0.000	0	0.800	0.000	0.000	1.072	-4270.020	-2259.961	5656.854	-573.573	1436.486	104	104	97	97	57	429.289	429.289	-45.300	18.000	-1.000	0	0	0
5	1.309	Running	0	0	0	0	0	0	649	649	-5669.700	-10074.500	1440.300	179.700	-270.020	1740.039	29.999	-89.700	0.000	0.000	18.000	1.000	0.000	0	0.800	0.000	0.000	1.309	-4270.020	-2259.961	5656.854	-573.573	1436.486	104	104	97	97	57	429.289	429.289	-45.300	18.000	-1.000	0	0	0
6	1.543	Running	0	0	0	0	0	0	649	649	-5669.700	-10074.500	1440.300	179.700	-270.020	1740.039	29.999	-89.700	0.000	0.000	18.000	1.000	0.000	0	0.800	0.000	0.000	1.543	-4270.020	-2259.961	5656.854	-573.573	1436.486	104	104	97	97	57	429.289	429.289	-45.300	18.000	-1.000	0	0	0
7	1.772	Running	0	0	0	0	0	0	649	649	-5669.700	-10074.500	1440.300	179.700	-270.020	1740.039	29.999	-89.700	0.000	0.000	18.000	1.000	0.200	0	0.900	0.100	0.000	1.772	-4270.020	-2259.961	5656.854	-573.573	1436.486	104	104	97	97	57	429.289	429.289	-45.300	18.000	-1.000	0	0	0
8	2.002	Running	0	0	0	0	0	0	649	649	-5669.700	-10074.500	1440.300	179.700	-270.020	1740.039	29.999	-89.700	0.000	0.000	18.000	1.000	0.200	0	0.900	0.000	0.000	2.002	-4270.020	-2259.961	5656.854	-573.573	1436.486	104	104	97	97	57	429.289	429.289	-45.300	18.000	-1.000	0	0	0
9	2.237	Running	0	0	0	0	0	0	649	649	-5669.700	-10074.500	1440.300	179.700	-270.020	1740.039	29.999	-89.700	0.000	0.000	18.000	1.000	0.200	0	0.900	0.000	0.000	2.237	-4270.020	-2259.961	5656.854	-573.573	1436.486	104	104	97	97	57	429.289	429.289	-45.300	18.000	-1.000	0	0	0
10	2.487	Running	0	0	0	0	0	0	649	649	-5669.700	-10074.500	1440.300	179.700	-270.020	1740.039	29.999	-89.700	0.000	0.000	18.000	1.000	0.200	0	0.900	0.000	0.000	2.487	-4270.020	-2259.961	5656.854	-573.573	1436.486	104	104	97	97	57	429.289	429.289	-45.300	18.000	-1.000	0	0	0
11	2.741	Running	0	0	1	0	0	0	649	642	-5669.700	-10074.601	1440.300	180.100	-270.020	1729.980	29.999	-90.100	0.101	10.059	18.000	1.000	0.400	0	0.900	0.000	10.059	0.000	-4270.020	-2259.961	5649.746	-623.573	1386.486	104	103	96	96	58	492.939	434.593	-48.505	18.000	-1.000	0	0	0
12	3.012	Running	0	0	1	0	0	0	649	642	-5669.700	-10074.601	1440.300	180.100	-270.020	1729.980	29.999	-90.100	0.000	0.000	18.000	1.000	0.400	0	0.900	0.000	0.000	0.000	-4270.020	-2259.961	5649.746	-623.573	1386.486	104	103	96	96	58	492.939	439.082	-48.505	18.000	-1.000	0	0	0
13	3.408	Running	0	0	1	0	0	0	649	642	-5669.700	-10074.601	1440.300	180.100	-270.020	1729.980	29.999	-90.100	0.000	0.000	18.000	1.000	0.400	0	0.900	0.000	0.000	0.000	-4270.020	-2259.961	5649.746	-623.573	1386.486	104	103	96	96	58	492.939	442.928	-48.505	18.000	-1.000	0	0	0
14	3.683	Running	0	0	1	0	0	0	649	641	-5669.800	-10074.601	1440.300	180.700	-280.029	1729.980	29.999	-90.700	0.100	10.010	18.000	1.000	0.600	0	0.900	0.000	10.010	0.000	-4270.020	-2259.961	5642.664	-633.583	1376.476	103	103	96	96	59	499.965	446.731	-44.316	18.000	-1.000	0	0	0
