timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag
0,-270.019500,1740.039000,29.998900,-89.699997,0.005236,0.999986,0.000000,-0.999986,0.005236,0.000000,0.000000,0.000000,1.000000,0
1,-270.019500,1740.039000,29.998900,-89.699997,0.005236,0.999986,0.000000,-0.999986,0.005236,0.000000,0.000000,0.000000,1.000000,0
2,-270.019500,1740.039000,29.998900,-89.699997,0.005236,0.999986,0.000000,-0.999986,0.005236,0.000000,0.000000,0.000000,1.000000,0
3,-270.019500,1740.039000,29.998900,-89.699997,0.005236,0.999986,0.000000,-0.999986,0.005236,0.000000,0.000000,0.000000,1.000000,0
4,-270.019500,1740.039000,29.998900,-89.699997,0.005236,0.999986,0.000000,-0.999986,0.005236,0.000000,0.000000,0.000000,1.000000,0
5,-270.019500,1740.039000,29.998900,-89.699997,0.005236,0.999986,0.000000,-0.999986,0.005236,0.000000,0.000000,0.000000,1.000000,0
6,-270.019500,1740.039000,29.998900,-89.699997,0.005236,0.999986,0.000000,-0.999986,0.005236,0.000000,0.000000,0.000000,1.000000,0
7,-270.019500,1740.039000,29.998900,-89.699997,0.005236,0.999986,0.000000,-0.999986,0.005236,0.000000,0.000000,0.000000,1.000000,0
8,-270.019500,1740.039000,29.998900,-89.699997,0.005236,0.999986,0.000000,-0.999986,0.005236,0.000000,0.000000,0.000000,1.000000,0
9,-270.019500,1740.039000,29.998900,-89.699997,0.005236,0.999986,0.000000,-0.999986,0.005236,0.000000,0.000000,0.000000,1.000000,0
10,-270.019500,1740.039000,29.998900,-89.699997,0.005236,0.999986,0.000000,-0.999986,0.005236,0.000000,0.000000,0.000000,1.000000,0
11,-270.019500,1740.039000,29.998900,-89.699997,0.005236,0.999986,0.000000,-0.999986,0.005236,0.000000,0.000000,0.000000,1.000000,0
12,-270.019500,1729.980400,29.998900,-90.100006,-0.001745,0.999998,0.000000,-0.999998,-0.001745,0.000000,0.000000,0.000000,1.000000,0
13,-270.019500,1729.980400,29.998900,-90.100006,-0.001745,0.999998,0.000000,-0.999998,-0.001745,0.000000,0.000000,0.000000,1.000000,0
14,-270.019500,1729.980400,29.998900,-90.100006,-0.001745,0.999998,0.000000,-0.999998,-0.001745,0.000000,0.000000,0.000000,1.000000,0
15,-280.029300,1729.980400,29.998900,-90.699997,-0.012217,0.999925,0.000000,-0.999925,-0.012217,0.000000,0.000000,0.000000,1.000000,0
16,-280.029300,1729.980400,29.998900,-90.699997,-0.012217,0.999925,0.000000,-0.999925,-0.012217,0.000000,0.000000,0.000000,1.000000,0
17,-280.029300,1729.980400,29.998900,-90.699997,-0.012217,0.999925,0.000000,-0.999925,-0.012217,0.000000,0.000000,0.000000,1.000000,0
18,-280.029300,1729.980400,29.998900,-90.699997,-0.012217,0.999925,0.000000,-0.999925,-0.012217,0.000000,0.000000,0.000000,1.000000,0
19,-280.029300,1720.019500,29.998900,-91.600006,-0.027922,0.999610,0.000000,-0.999610,-0.027922,0.000000,0.000000,0.000000,1.000000,0
20,-280.029300,1720.019500,29.998900,-91.600006,-0.027922,0.999610,0.000000,-0.999610,-0.027922,0.000000,0.000000,0.000000,1.000000,0
21,-280.029300,1720.019500,29.998900,-91.600006,-0.027922,0.999610,0.000000,-0.999610,-0.027922,0.000000,0.000000,0.000000,1.000000,0
22,-280.029300,1720.019500,29.998900,-92.500000,-0.043619,0.999048,0.000000,-0.999048,-0.043619,0.000000,0.000000,0.000000,1.000000,0
23,-280.029300,1720.019500,29.998900,-92.500000,-0.043619,0.999048,0.000000,-0.999048,-0.043619,0.000000,0.000000,0.000000,1.000000,0
24,-280.029300,1720.019500,29.998900,-92.500000,-0.043619,0.999048,0.000000,-0.999048,-0.043619,0.000000,0.000000,0.000000,1.000000,0
25,-280.029300,1720.019500,29.998900,-92.500000,-0.043619,0.999048,0.000000,-0.999048,-0.043619,0.000000,0.000000,0.000000,1.000000,0
26,-280.029300,1720.019500,29.998900,-92.500000,-0.043619,0.999048,0.000000,-0.999048,-0.043619,0.000000,0.000000,0.000000,1.000000,0
27,-289.990200,1699.999900,29.998900,-93.900009,-0.068015,0.997684,0.000000,-0.997684,-0.068015,0.000000,0.000000,0.000000,1.000000,0
28,-289.990200,1699.999900,29.998900,-93.900009,-0.068015,0.997684,0.000000,-0.997684,-0.068015,0.000000,0.000000,0.000000,1.000000,0
29,-289.990200,1699.999900,29.998900,-93.900009,-0.068015,0.997684,0.000000,-0.997684,-0.068015,0.000000,0.000000,0.000000,1.000000,0
30,-289.990200,1690.039000,29.998900,-95.400009,-0.094108,0.995562,0.000000,-0.995562,-0.094108,0.000000,0.000000,0.000000,1.000000,0
31,-289.990200,1690.039000,29.998900,-95.400009,-0.094108,0.995562,0.000000,-0.995562,-0.094108,0.000000,0.000000,0.000000,1.000000,0
