step_idx	elapsed_s	sensor_idx	sensor_label	sensor_enabled	raw_cm	raw_is_zero	valid_range_gt0	valid_range_ge0	mask_hit	pitch_scale	planar_hit_cm	hit_world_z_cm	low_clearance_hit	chunk_name	chunk_hit_count	chunk_threshold_met	hit_dist_from_rover_cm	within_local_radius	usable_for_mark	placed	usable_reason	map_origin	sensor_local_x_cm	sensor_local_y_cm	sensor_yaw_deg	sensor_pitch_deg	sensor_world_x_cm	sensor_world_y_cm	sensor_cell_x	sensor_cell_y	hit_world_x_cm	hit_world_y_cm	ray_hit_world_x_cm	ray_hit_world_y_cm	hit_cell_x	hit_cell_y	center_hit_world_x_cm	center_hit_world_y_cm	center_hit_cell_x	center_hit_cell_y	rover_x_cm	rover_y_cm	rover_heading_deg
0	0.000	0	front_left_wheel_hub_yaw_p30	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	sensor	250.000	245.000	30.000	0.000	555.010	929.980	108	99	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	310.010	1179.980	-90.000
0	0.000	1	front_left_frame_yaw_p20_pitch_n20	0	519.520	0	1	1	0	0.940	488.189	-137.690	1	front	0	0	nan	0	0	0	sensor_disabled	sensor	325.000	75.000	20.000	-20.000	385.010	854.980	105	97	nan	nan	551.980	396.233	-1	-1	476.980	721.233	107	94	310.010	1179.980	-90.000
0	0.000	2	front_center_frame_forward	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	sensor	325.000	0.000	0.000	0.000	310.010	854.980	104	97	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	310.010	1179.980	-90.000
0	0.000	3	front_right_frame_yaw_n20_pitch_n20	0	571.190	0	1	1	0	0.940	536.743	-155.362	1	front	0	0	nan	0	0	0	sensor_disabled	sensor	325.000	-75.000	-20.000	-20.000	235.010	854.980	102	97	nan	nan	51.433	350.607	-1	-1	126.433	675.607	100	93	310.010	1179.980	-90.000
0	0.000	4	front_right_wheel_hub_yaw_n30	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	sensor	250.000	-245.000	-30.000	0.000	65.010	929.980	99	99	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	310.010	1179.980	-90.000
0	0.000	5	front_left_frame_pitch_n25	0	430.330	0	1	1	0	0.906	390.011	-141.869	1	front	0	0	nan	0	0	0	sensor_disabled	sensor	325.000	75.000	0.000	-25.000	385.010	854.980	105	97	nan	nan	385.010	464.969	-1	-1	310.010	789.969	104	96	310.010	1179.980	-90.000
0	0.000	6	front_right_frame_pitch_n25	0	441.920	0	1	1	0	0.906	400.516	-146.767	1	front	0	0	nan	0	0	0	sensor_disabled	sensor	325.000	-75.000	0.000	-25.000	235.010	854.980	102	97	nan	nan	235.010	454.465	-1	-1	310.010	779.465	104	95	310.010	1179.980	-90.000
0	0.000	7	left_mid_frame_left_pitch_n20	0	393.320	0	1	1	0	0.940	369.600	-94.527	1	left	0	0	nan	0	0	0	sensor_disabled	sensor	40.000	235.000	90.000	-20.000	545.010	1139.980	108	103	nan	nan	914.610	1139.980	-1	-1	679.610	1179.980	111	104	310.010	1179.980	-90.000
0	0.000	8	right_mid_frame_right_pitch_n20	0	393.130	0	1	1	0	0.940	369.421	-94.462	1	right	0	0	nan	0	0	0	sensor_disabled	sensor	40.000	-235.000	-90.000	-20.000	75.010	1139.980	99	103	nan	nan	-294.412	1139.980	-1	-1	-59.412	1179.980	96	104	310.010	1179.980	-90.000
0	0.000	9	rear_left_wheel_hub_back_yaw_p40	1	625.620	0	1	1	0	1.000	625.620	39.996	0	rear	0	0	nan	0	0	0	masked_hit	sensor	-215.000	270.000	140.000	0.000	580.010	1394.980	109	108	nan	nan	982.151	1874.233	-1	-1	712.151	1659.233	112	113	310.010	1179.980	-90.000
0	0.000	10	rear_left_frame_backward	1	267.270	0	1	1	0	1.000	267.270	39.996	0	rear	0	0	nan	0	0	0	masked_hit	sensor	-320.000	80.000	180.000	0.000	390.010	1499.980	105	110	nan	nan	390.010	1767.250	-1	-1	310.010	1447.250	104	109	310.010	1179.980	-90.000
0	0.000	11	rear_right_frame_backward	1	258.040	0	1	1	0	1.000	258.040	39.996	0	rear	0	0	nan	0	0	0	masked_hit	sensor	-320.000	-50.000	180.000	0.000	260.010	1499.980	103	110	nan	nan	260.010	1758.020	-1	-1	310.010	1438.020	104	109	310.010	1179.980	-90.000
0	0.000	12	rear_right_wheel_hub_back_yaw_n40	1	609.200	0	1	1	0	1.000	609.200	39.996	0	rear	0	0	nan	0	0	0	masked_hit	sensor	-215.000	-215.000	-140.000	0.000	95.010	1394.980	99	108	nan	nan	-296.576	1861.655	-1	-1	-81.576	1646.655	96	113	310.010	1179.980	-90.000
0	0.000	13	front_left_frame_yaw_p20_pitch_n10	1	782.380	0	1	1	0	0.985	770.494	-95.862	1	front	0	0	nan	0	0	0	masked_hit	sensor	325.000	75.000	20.000	-10.000	385.010	854.980	105	97	nan	nan	648.534	130.953	-1	-1	573.534	455.953	109	89	310.010	1179.980	-90.000
0	0.000	14	front_right_frame_yaw_n20_pitch_n10	1	-1.000	0	0	0	0	0.985	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	sensor	325.000	-75.000	-20.000	-10.000	235.010	854.980	102	97	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	310.010	1179.980	-90.000
0	0.000	15	front_left_wheel_hub_yaw_p15	1	958.420	0	1	1	0	1.000	958.420	39.996	0	front	0	0	nan	0	0	0	masked_hit	sensor	250.000	245.000	15.000	0.000	555.010	929.980	108	99	nan	nan	803.067	4.218	-1	-1	558.067	254.218	108	85	310.010	1179.980	-90.000
0	0.000	16	front_right_wheel_hub_yaw_n15	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	sensor	250.000	-245.000	-15.000	0.000	65.010	929.980	99	99	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	310.010	1179.980	-90.000
1	0.257	0	front_left_wheel_hub_yaw_p30	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	sensor	250.000	245.000	30.000	0.000	555.010	929.980	108	99	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	310.010	1179.980	-90.000
1	0.257	1	front_left_frame_yaw_p20_pitch_n20	0	519.520	0	1	1	0	0.940	488.189	-137.690	1	front	0	0	nan	0	0	0	sensor_disabled	sensor	325.000	75.000	20.000	-20.000	385.010	854.980	105	97	nan	nan	551.980	396.233	-1	-1	476.980	721.233	107	94	310.010	1179.980	-90.000
1	0.257	2	front_center_frame_forward	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	sensor	325.000	0.000	0.000	0.000	310.010	854.980	104	97	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	310.010	1179.980	-90.000
1	0.257	3	front_right_frame_yaw_n20_pitch_n20	0	571.190	0	1	1	0	0.940	536.743	-155.362	1	front	0	0	nan	0	0	0	sensor_disabled	sensor	325.000	-75.000	-20.000	-20.000	235.010	854.980	102	97	nan	nan	51.433	350.607	-1	-1	126.433	675.607	100	93	310.010	1179.980	-90.000
1	0.257	4	front_right_wheel_hub_yaw_n30	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	sensor	250.000	-245.000	-30.000	0.000	65.010	929.980	99	99	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	310.010	1179.980	-90.000
1	0.257	5	front_left_frame_pitch_n25	0	430.330	0	1	1	0	0.906	390.011	-141.869	1	front	0	0	nan	0	0	0	sensor_disabled	sensor	325.000	75.000	0.000	-25.000	385.010	854.980	105	97	nan	nan	385.010	464.969	-1	-1	310.010	789.969	104	96	310.010	1179.980	-90.000
1	0.257	6	front_right_frame_pitch_n25	0	441.920	0	1	1	0	0.906	400.516	-146.767	1	front	0	0	nan	0	0	0	sensor_disabled	sensor	325.000	-75.000	0.000	-25.000	235.010	854.980	102	97	nan	nan	235.010	454.465	-1	-1	310.010	779.465	104	95	310.010	1179.980	-90.000
1	0.257	7	left_mid_frame_left_pitch_n20	0	393.320	0	1	1	0	0.940	369.600	-94.527	1	left	0	0	nan	0	0	0	sensor_disabled	sensor	40.000	235.000	90.000	-20.000	545.010	1139.980	108	103	nan	nan	914.610	1139.980	-1	-1	679.610	1179.980	111	104	310.010	1179.980	-90.000
1	0.257	8	right_mid_frame_right_pitch_n20	0	393.130	0	1	1	0	0.940	369.421	-94.462	1	right	0	0	nan	0	0	0	sensor_disabled	sensor	40.000	-235.000	-90.000	-20.000	75.010	1139.980	99	103	nan	nan	-294.412	1139.980	-1	-1	-59.412	1179.980	96	104	310.010	1179.980	-90.000
1	0.257	9	rear_left_wheel_hub_back_yaw_p40	1	625.620	0	1	1	0	1.000	625.620	39.996	0	rear	0	0	nan	0	0	0	masked_hit	sensor	-215.000	270.000	140.000	0.000	580.010	1394.980	109	108	nan	nan	982.151	1874.233	-1	-1	712.151	1659.233	112	113	310.010	1179.980	-90.000
1	0.257	10	rear_left_frame_backward	1	267.270	0	1	1	0	1.000	267.270	39.996	0	rear	0	0	nan	0	0	0	masked_hit	sensor	-320.000	80.000	180.000	0.000	390.010	1499.980	105	110	nan	nan	390.010	1767.250	-1	-1	310.010	1447.250	104	109	310.010	1179.980	-90.000
1	0.257	11	rear_right_frame_backward	1	258.040	0	1	1	0	1.000	258.040	39.996	0	rear	0	0	nan	0	0	0	masked_hit	sensor	-320.000	-50.000	180.000	0.000	260.010	1499.980	103	110	nan	nan	260.010	1758.020	-1	-1	310.010	1438.020	104	109	310.010	1179.980	-90.000
1	0.257	12	rear_right_wheel_hub_back_yaw_n40	1	609.200	0	1	1	0	1.000	609.200	39.996	0	rear	0	0	nan	0	0	0	masked_hit	sensor	-215.000	-215.000	-140.000	0.000	95.010	1394.980	99	108	nan	nan	-296.576	1861.655	-1	-1	-81.576	1646.655	96	113	310.010	1179.980	-90.000
1	0.257	13	front_left_frame_yaw_p20_pitch_n10	1	782.380	0	1	1	0	0.985	770.494	-95.862	1	front	0	0	nan	0	0	0	masked_hit	sensor	325.000	75.000	20.000	-10.000	385.010	854.980	105	97	nan	nan	648.534	130.953	-1	-1	573.534	455.953	109	89	310.010	1179.980	-90.000
1	0.257	14	front_right_frame_yaw_n20_pitch_n10	1	-1.000	0	0	0	0	0.985	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	sensor	325.000	-75.000	-20.000	-10.000	235.010	854.980	102	97	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	310.010	1179.980	-90.000
1	0.257	15	front_left_wheel_hub_yaw_p15	1	958.420	0	1	1	0	1.000	958.420	39.996	0	front	0	0	nan	0	0	0	masked_hit	sensor	250.000	245.000	15.000	0.000	555.010	929.980	108	99	nan	nan	803.067	4.218	-1	-1	558.067	254.218	108	85	310.010	1179.980	-90.000
1	0.257	16	front_right_wheel_hub_yaw_n15	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	sensor	250.000	-245.000	-15.000	0.000	65.010	929.980	99	99	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	310.010	1179.980	-90.000
2	0.495	0	front_left_wheel_hub_yaw_p30	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	sensor	250.000	245.000	30.000	0.000	555.010	929.980	108	99	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	310.010	1179.980	-90.000
2	0.495	1	front_left_frame_yaw_p20_pitch_n20	0	519.520	0	1	1	0	0.940	488.189	-137.690	1	front	0	0	nan	0	0	0	sensor_disabled	sensor	325.000	75.000	20.000	-20.000	385.010	854.980	105	97	nan	nan	551.980	396.233	-1	-1	476.980	721.233	107	94	310.010	1179.980	-90.000
2	0.495	2	front_center_frame_forward	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	sensor	325.000	0.000	0.000	0.000	310.010	854.980	104	97	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	310.010	1179.980	-90.000
2	0.495	3	front_right_frame_yaw_n20_pitch_n20	0	571.190	0	1	1	0	0.940	536.743	-155.362	1	front	0	0	nan	0	0	0	sensor_disabled	sensor	325.000	-75.000	-20.000	-20.000	235.010	854.980	102	97	nan	nan	51.433	350.607	-1	-1	126.433	675.607	100	93	310.010	1179.980	-90.000
2	0.495	4	front_right_wheel_hub_yaw_n30	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	sensor	250.000	-245.000	-30.000	0.000	65.010	929.980	99	99	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	310.010	1179.980	-90.000
2	0.495	5	front_left_frame_pitch_n25	0	430.330	0	1	1	0	0.906	390.011	-141.869	1	front	0	0	nan	0	0	0	sensor_disabled	sensor	325.000	75.000	0.000	-25.000	385.010	854.980	105	97	nan	nan	385.010	464.969	-1	-1	310.010	789.969	104	96	310.010	1179.980	-90.000
2	0.495	6	front_right_frame_pitch_n25	0	441.920	0	1	1	0	0.906	400.516	-146.767	1	front	0	0	nan	0	0	0	sensor_disabled	sensor	325.000	-75.000	0.000	-25.000	235.010	854.980	102	97	nan	nan	235.010	454.465	-1	-1	310.010	779.465	104	95	310.010	1179.980	-90.000
2	0.495	7	left_mid_frame_left_pitch_n20	0	393.320	0	1	1	0	0.940	369.600	-94.527	1	left	0	0	nan	0	0	0	sensor_disabled	sensor	40.000	235.000	90.000	-20.000	545.010	1139.980	108	103	nan	nan	914.610	1139.980	-1	-1	679.610	1179.980	111	104	310.010	1179.980	-90.000
2	0.495	8	right_mid_frame_right_pitch_n20	0	393.130	0	1	1	0	0.940	369.421	-94.462	1	right	0	0	nan	0	0	0	sensor_disabled	sensor	40.000	-235.000	-90.000	-20.000	75.010	1139.980	99	103	nan	nan	-294.412	1139.980	-1	-1	-59.412	1179.980	96	104	310.010	1179.980	-90.000
2	0.495	9	rear_left_wheel_hub_back_yaw_p40	1	625.620	0	1	1	0	1.000	625.620	39.996	0	rear	0	0	nan	0	0	0	masked_hit	sensor	-215.000	270.000	140.000	0.000	580.010	1394.980	109	108	nan	nan	982.151	1874.233	-1	-1	712.151	1659.233	112	113	310.010	1179.980	-90.000
2	0.495	10	rear_left_frame_backward	1	267.270	0	1	1	0	1.000	267.270	39.996	0	rear	0	0	nan	0	0	0	masked_hit	sensor	-320.000	80.000	180.000	0.000	390.010	1499.980	105	110	nan	nan	390.010	1767.250	-1	-1	310.010	1447.250	104	109	310.010	1179.980	-90.000
2	0.495	11	rear_right_frame_backward	1	258.040	0	1	1	0	1.000	258.040	39.996	0	rear	0	0	nan	0	0	0	masked_hit	sensor	-320.000	-50.000	180.000	0.000	260.010	1499.980	103	110	nan	nan	260.010	1758.020	-1	-1	310.010	1438.020	104	109	310.010	1179.980	-90.000
2	0.495	12	rear_right_wheel_hub_back_yaw_n40	1	609.200	0	1	1	0	1.000	609.200	39.996	0	rear	0	0	nan	0	0	0	masked_hit	sensor	-215.000	-215.000	-140.000	0.000	95.010	1394.980	99	108	nan	nan	-296.576	1861.655	-1	-1	-81.576	1646.655	96	113	310.010	1179.980	-90.000
2	0.495	13	front_left_frame_yaw_p20_pitch_n10	1	782.380	0	1	1	0	0.985	770.494	-95.862	1	front	0	0	nan	0	0	0	masked_hit	sensor	325.000	75.000	20.000	-10.000	385.010	854.980	105	97	nan	nan	648.534	130.953	-1	-1	573.534	455.953	109	89	310.010	1179.980	-90.000
2	0.495	14	front_right_frame_yaw_n20_pitch_n10	1	-1.000	0	0	0	0	0.985	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	sensor	325.000	-75.000	-20.000	-10.000	235.010	854.980	102	97	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	310.010	1179.980	-90.000
2	0.495	15	front_left_wheel_hub_yaw_p15	1	958.420	0	1	1	0	1.000	958.420	39.996	0	front	0	0	nan	0	0	0	masked_hit	sensor	250.000	245.000	15.000	0.000	555.010	929.980	108	99	nan	nan	803.067	4.218	-1	-1	558.067	254.218	108	85	310.010	1179.980	-90.000
2	0.495	16	front_right_wheel_hub_yaw_n15	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	sensor	250.000	-245.000	-15.000	0.000	65.010	929.980	99	99	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	310.010	1179.980	-90.000
3	0.762	0	front_left_wheel_hub_yaw_p30	1	150.000	0	1	1	0	1.000	150.000	39.996	0	front	0	0	nan	0	0	0	masked_hit	sensor	250.000	245.000	30.000	0.000	555.010	929.980	108	99	nan	nan	630.010	800.077	-1	-1	385.010	1050.077	105	101	310.010	1179.980	-90.000
3	0.762	1	front_left_frame_yaw_p20_pitch_n20	0	515.440	0	1	1	0	0.940	484.355	-136.294	1	front	0	0	nan	0	0	0	sensor_disabled	sensor	325.000	75.000	20.000	-20.000	385.010	854.980	105	97	nan	nan	550.669	399.835	-1	-1	475.669	724.835	107	94	310.010	1179.980	-90.000
3	0.762	2	front_center_frame_forward	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	sensor	325.000	0.000	0.000	0.000	310.010	854.980	104	97	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	310.010	1179.980	-90.000
3	0.762	3	front_right_frame_yaw_n20_pitch_n20	0	566.880	0	1	1	0	0.940	532.693	-153.888	1	front	0	0	nan	0	0	0	sensor_disabled	sensor	325.000	-75.000	-20.000	-20.000	235.010	854.980	102	97	nan	nan	52.818	354.413	-1	-1	127.818	679.413	100	93	310.010	1179.980	-90.000
3	0.762	4	front_right_wheel_hub_yaw_n30	1	899.860	0	1	1	0	1.000	899.860	39.996	0	front	0	0	nan	0	0	0	masked_hit	sensor	250.000	-245.000	-30.000	0.000	65.010	929.980	99	99	nan	nan	-384.920	150.679	-1	-1	-139.920	400.679	95	88	310.010	1179.980	-90.000
3	0.762	5	front_left_frame_pitch_n25	0	427.020	0	1	1	0	0.906	387.012	-140.470	1	front	0	0	nan	0	0	0	sensor_disabled	sensor	325.000	75.000	0.000	-25.000	385.010	854.980	105	97	nan	nan	385.010	467.969	-1	-1	310.010	792.969	104	96	310.010	1179.980	-90.000
