step_idx	elapsed_s	attempted	trigger	planner_rebuilt	previous_path_points	raw_path_points	follow_path_points	status
0	0.000	0	none	0	649	0	649	not_attempted
1	0.257	0	none	0	649	0	649	not_attempted
2	0.495	0	none	0	649	0	649	not_attempted
3	0.762	0	none	0	649	0	649	not_attempted
4	1.026	0	none	0	649	0	649	not_attempted
5	1.257	0	none	0	649	0	649	not_attempted
6	1.499	0	none	0	649	0	649	not_attempted
7	1.738	0	none	0	649	0	649	not_attempted
8	1.980	0	none	0	649	0	649	not_attempted
9	2.344	0	none	0	649	0	649	not_attempted
10	2.619	0	none	0	649	0	649	not_attempted
11	2.908	0	none	0	649	0	649	not_attempted
12	3.207	0	none	0	649	0	649	not_attempted
13	3.471	0	none	0	649	0	649	not_attempted
14	3.829	0	none	0	649	0	649	not_attempted
15	4.095	0	none	0	649	0	649	not_attempted
16	4.358	0	none	0	649	0	649	not_attempted
17	4.613	0	none	0	649	0	649	not_attempted
18	4.886	0	none	0	649	0	649	not_attempted
19	5.155	0	none	0	649	0	649	not_attempted
20	5.420	0	none	0	649	0	649	not_attempted
21	5.696	0	none	0	649	0	649	not_attempted
22	5.954	0	none	0	649	0	649	not_attempted
23	6.225	0	none	0	649	0	649	not_attempted
24	6.479	0	none	0	649	0	649	not_attempted
25	6.765	0	none	0	649	0	649	not_attempted
26	7.028	0	none	0	649	0	649	not_attempted
27	7.307	0	none	0	649	0	649	not_attempted
28	7.585	0	none	0	649	0	649	not_attempted
29	7.859	0	none	0	649	0	649	not_attempted
30	8.135	0	none	0	649	0	649	not_attempted
31	8.406	0	none	0	649	0	649	not_attempted
32	8.680	0	none	0	649	0	649	not_attempted
33	8.936	0	none	0	649	0	649	not_attempted
34	9.220	0	none	0	649	0	649	not_attempted
35	9.500	0	none	0	649	0	649	not_attempted
36	9.776	0	none	0	649	0	649	not_attempted
37	10.050	0	none	0	649	0	649	not_attempted
38	10.335	0	none	0	649	0	649	not_attempted
39	10.620	0	none	0	649	0	649	not_attempted
40	10.898	0	none	0	649	0	649	not_attempted
41	11.159	0	none	0	649	0	649	not_attempted
42	11.441	0	none	0	649	0	649	not_attempted
43	11.713	0	none	0	649	0	649	not_attempted
44	11.977	0	none	0	649	0	649	not_attempted
45	12.237	0	none	0	649	0	649	not_attempted
46	12.502	0	none	0	649	0	649	not_attempted
47	12.783	0	none	0	649	0	649	not_attempted
48	13.094	0	none	0	649	0	649	not_attempted
49	13.362	0	none	0	649	0	649	not_attempted
50	13.634	0	none	0	649	0	649	not_attempted
51	13.907	0	none	0	649	0	649	not_attempted
52	14.187	0	none	0	649	0	649	not_attempted
53	14.461	0	none	0	649	0	649	not_attempted
54	14.736	0	none	0	649	0	649	not_attempted
55	15.014	0	none	0	649	0	649	not_attempted
56	15.307	0	none	0	649	0	649	not_attempted
57	15.602	0	none	0	649	0	649	not_attempted
58	15.901	0	none	0	649	0	649	not_attempted
59	16.190	0	none	0	649	0	649	not_attempted
60	16.458	0	none	0	649	0	649	not_attempted
61	16.737	0	none	0	649	0	649	not_attempted
62	17.012	0	none	0	649	0	649	not_attempted
63	17.296	0	none	0	649	0	649	not_attempted
64	17.579	0	none	0	649	0	649	not_attempted
65	17.861	0	none	0	649	0	649	not_attempted
66	18.188	0	none	0	649	0	649	not_attempted
67	18.462	0	none	0	649	0	649	not_attempted
68	18.723	0	none	0	649	0	649	not_attempted
69	19.008	0	none	0	649	0	649	not_attempted
70	19.274	0	none	0	649	0	649	not_attempted
71	19.572	0	none	0	649	0	649	not_attempted
72	19.849	0	none	0	649	0	649	not_attempted
73	20.137	0	none	0	649	0	649	not_attempted
74	20.425	0	none	0	649	0	649	not_attempted
75	20.763	0	none	0	649	0	649	not_attempted
76	21.072	0	none	0	649	0	649	not_attempted
77	21.364	0	none	0	649	0	649	not_attempted
78	21.640	0	none	0	649	0	649	not_attempted
79	21.920	0	none	0	649	0	649	not_attempted
80	22.188	0	none	0	649	0	649	not_attempted
81	22.468	0	none	0	649	0	649	not_attempted
82	22.820	0	none	0	649	0	649	not_attempted
83	23.095	0	none	0	649	0	649	not_attempted
84	23.375	0	none	0	649	0	649	not_attempted
85	23.637	0	none	0	649	0	649	not_attempted
86	23.904	0	none	0	649	0	649	not_attempted
87	24.192	0	none	0	649	0	649	not_attempted
88	24.461	0	none	0	649	0	649	not_attempted
89	24.752	0	none	0	649	0	649	not_attempted
90	25.031	0	none	0	649	0	649	not_attempted
91	25.306	0	none	0	649	0	649	not_attempted
92	25.586	0	none	0	649	0	649	not_attempted
93	25.863	0	none	0	649	0	649	not_attempted
94	26.124	0	none	0	649	0	649	not_attempted
95	26.407	0	none	0	649	0	649	not_attempted
96	26.676	0	none	0	649	0	649	not_attempted
97	26.947	0	none	0	649	0	649	not_attempted
98	27.221	0	none	0	649	0	649	not_attempted
99	27.491	0	none	0	649	0	649	not_attempted
100	27.779	0	none	0	649	0	649	not_attempted
101	28.054	0	none	0	649	0	649	not_attempted
102	28.339	0	none	0	649	0	649	not_attempted
103	28.618	0	none	0	649	0	649	not_attempted
104	28.901	0	none	0	649	0	649	not_attempted
105	29.174	0	none	0	649	0	649	not_attempted
106	29.445	0	none	0	649	0	649	not_attempted
107	29.700	0	none	0	649	0	649	not_attempted
108	29.971	0	none	0	649	0	649	not_attempted
109	30.241	0	none	0	649	0	649	not_attempted
110	30.514	0	none	0	649	0	649	not_attempted
111	30.782	0	none	0	649	0	649	not_attempted
112	31.053	0	none	0	649	0	649	not_attempted
113	31.346	0	none	0	649	0	649	not_attempted
114	31.634	0	none	0	649	0	649	not_attempted
115	31.929	0	none	0	649	0	649	not_attempted
116	32.214	0	none	0	649	0	649	not_attempted
117	32.490	0	none	0	649	0	649	not_attempted
118	32.767	0	none	0	649	0	649	not_attempted
119	33.050	0	none	0	649	0	649	not_attempted
120	33.330	0	none	0	649	0	649	not_attempted
121	33.611	0	none	0	649	0	649	not_attempted
122	33.929	0	none	0	649	0	649	not_attempted
123	34.215	0	none	0	649	0	649	not_attempted
124	34.475	0	none	0	649	0	649	not_attempted
125	34.755	0	none	0	649	0	649	not_attempted
126	35.013	0	none	0	649	0	649	not_attempted
127	35.289	0	none	0	649	0	649	not_attempted
128	35.583	0	none	0	649	0	649	not_attempted
129	35.860	0	none	0	649	0	649	not_attempted
130	36.194	0	none	0	649	0	649	not_attempted
131	36.496	0	none	0	649	0	649	not_attempted
